"Search Term","Description","Logic"
"classitem","Shows armors based on their category.","Matches items in Class Armor bucket."
"subclass","Shows armors based on their category.","Matches items in Subclass bucket."
"ghost","Shows armors based on their category.","Matches items in Ghost bucket."
"emblems","Shows armors based on their category.","Matches items in Emblems bucket."
"ships","Shows armors based on their category.","Matches items in Ships bucket."
"vehicle","Shows armors based on their category.","Matches items in Vehicle bucket."
"emotes","Shows armors based on their category.","Matches items in Emotes bucket."
"finishers","Shows armors based on their category.","Matches items in Finishers bucket."
"seasonalartifacts","Shows armors based on their category.","Matches items in Seasonal Artifact bucket."
"accessories","Shows armors based on their category.","Matches items in Accessories bucket."
"consumables","Shows armors based on their category.","Matches items in Consumables bucket."
"modifications","Shows armors based on their category.","Matches items in Modifications bucket."
"primary","Shows items based on their ammo type.","Matches items with Primary ammo type."
"heavy","Shows items based on their ammo type.","Matches items with Heavy ammo type."
"common","Shows items based on their rarity tier.","Matches items with Common rarity."
"uncommon","Shows items based on their rarity tier.","Matches items with Uncommon rarity."
"rare","Shows items based on their rarity tier.","Matches items with Rare rarity."
"legendary","Shows items based on their rarity tier.","Matches items with Legendary rarity."
"exotic","Shows items based on their rarity tier.","Matches items with Exotic rarity."
"white","Shows items based on their rarity tier.","Matches items with Common rarity."
"green","Shows items based on their rarity tier.","Matches items with Uncommon rarity."
"blue","Shows items based on their rarity tier.","Matches items with Rare rarity."
"purple","Shows items based on their rarity tier.","Matches items with Legendary rarity."
"yellow","Shows items based on their rarity tier.","Matches items with Exotic rarity."
"cosmetic","Shows items that are flair or cosmetic.","Checks if item bucket hash is a cosmetic type."
"haslight","Shows items that have power and can contribute to your power level.","Checks if item power is greater than 0."
"haspower","Shows items that have power and can contribute to your power level.","Checks if item power is greater than 0."
"breaker","Filter by breaker type or corresponding champion type. breaker:instrinsic shows items with intrinsic breaker ability.","Matches items by breaker type or if they have an intrinsic breaker."
"foundry","Shows items by which foundry created them.","Matches items by their foundry."
"powerfulreward","Shows pursuits which produce a powerful reward.","Checks if item pursuit rewards include a powerful reward."
"pinnaclereward","Shows pursuits which produce a pinnacle reward.","Checks if item pursuit rewards include a pinnacle reward."
"craftable","Shows items that are craftable.","Checks if item has a pattern unlock record."
"patternunlocked","Shows items that have a crafting pattern unlocked, even if the item itself isn't crafted.","Checks if item's pattern is unlocked."
"source","Shows items from which event in Destiny 2 they appeared in.","Matches items by their source or event."
"focusable","Shows items that can be focused at a vendor","Checks if item is a focusable output."
"inloadout","is:inloadout shows items that are included in any loadout. Searching with inloadout: shows items that are included in loadouts with matching titles. When used with a hashtag, inloadout: shows items whose loadouts have the hashtag in the title or notes. When used with a range, it shows items that are in that many loadouts.","Checks if item is in any loadout, or in a loadout matching criteria."
"iningameloadout","is:iningameloadout shows items that are included in any in-game loadout.","Checks if item is in an in-game loadout."
"InD2lLoadout","is:indimloadout shows items that are included in any D2L loadout.","Checks if item is in a D2L loadout."
"stack","Shows items based on the quantity of items in its stack.","Compares item's stack amount."
"year","Shows items from which year of Destiny they appeared in.","Compares item's year."
"level","Shows items based on their required level.","Compares item's equip required level."
"kills","Shows items based on their masterwork kill tracker count.","Compares item's kill tracker count for a specific type (pve, pvp, gambit) or any."
"weaponlevel","Shows weapons based on their Weapon Level.","Compares weapon's crafted level."
"tier","Shows items based on their tier from 0-5.","Compares item's tier."
"masterwork","Shows items based on their masterwork stat or masterwork level.","Checks if item is masterworked, or compares masterwork tier or stat."
"energycapacity","Shows items that have energy capacity (Armor 2.0).","Compares item's energy capacity."
"season","Shows items from which season of Destiny 2 they appeared in.","Compares item's season."
"light","Shows items based on their power level.","Compares item's power level."
"power","Shows items based on their power level.","Compares item's power level."
"powerlimit","This filter is no longer supported.","Always returns false (deprecated)."
"comborank","Compares the combo rank of weapon perks.","Compares weapon's combo rank from roll appraiser."
"perk1rank","Compares the rank of the perk in the first column.","Compares perk rank in column 1 (index 2) from roll appraiser."
"perk2rank","Compares the rank of the perk in the second column.","Compares perk rank in column 2 (index 3) from roll appraiser."
"perk3rank","Compares the rank of the perk in the third column.","Compares perk rank in column 3 (index 4) from roll appraiser."
"perk4rank","Compares the rank of the perk in the fourth column.","Compares perk rank in column 4 (index 5) from roll appraiser."
"perk1name","Searches for a perk name in the first column.","Checks if a perk name is present in column 1."
"perk2name","Searches for a perk name in the second column.","Checks if a perk name is present in column 2."
"perk3name","Searches for a perk name in the third column.","Checks if a perk name is present in column 3."
"perk4name","Searches for a perk name in the fourth column.","Checks if a perk name is present in column 4."
"reviewcount","Compares the number of reviews for a weapon.","Compares weapon's review count from roll appraiser."
"pvescore","Compares the PvE score for a weapon.","Compares weapon's PvE average score from roll appraiser."
"pvpscore","Compares the PvP score for a weapon.","Compares weapon's PvP average score from roll appraiser."
"overallscore","Compares the overall score for a weapon.","Compares weapon's overall average score from roll appraiser."
"armor2.0","Shows items that have energy capacity (Armor 2.0).","Checks if item has energy and is armor."
"weapon","Shows items that are weapons.","Checks if item bucket sort is 'Weapons' and not seasonal artifact or subclass."
"armor","Shows items that are armor.","Checks if item bucket sort is 'Armor'."
"equipment","Items that can be equipped.","Checks if item is equippable."
"equippable","Items that can be equipped.","Checks if item is equippable."
"postmaster","Items that are currently in the Postmaster.","Checks if item location is in Postmaster."
"inpostmaster","Items that are currently in the Postmaster.","Checks if item location is in Postmaster."
"equipped","Items that are currently equipped on a character.","Checks if item is currently equipped."
"transferable","Items that can be moved between characters.","Checks if item is notransferable."
"movable","Items that can be moved between characters.","Checks if item is notransferable."
"stackable","Shows items that can stack (ammo synths, strange coin, etc)","Checks if item has max stack size greater than 1."
"stackfull","Show items which are at-capacity for their stack (Enhancement Cores, Strange Coins, Gunsmith Materials etc)","Checks if item is stackable and at max stack size."
"infusable","Shows items that can be infused.","Checks if item is infusable."
"infuse","Shows items that can be infused.","Checks if item is infusable."
"locked","Shows items based on their locked status.","Checks if item is locked."
"unlocked","Shows items based on their locked status.","Checks if item is not locked."
"new","Shows new items.","Checks if item is in the 'newItems' set."
"sunset","This filter is no longer supported.","Always returns false (deprecated)."
"crafted","Shows weapons that have been crafted.","Checks if item crafted status is 'crafted'."
"shaped","Shows weapons that have been crafted.","Checks if item crafted status is 'crafted'."
"vendor","Item is from a vendor, not in your inventory. Useful for excluding vendor items from Loadout Optimizer.","Checks if item has a vendor."
"ininventory","Shows items that you have at least one copy of in your inventory. Only really useful in the Vendors and Records screens.","Checks if item hash is present in owned hashes."
"featured","Items that count as one of the \"Featured Items\" in the current season.","Checks if item is featured."
"modslot","Shows armor with a specific mod type slot.","Matches armor by mod slot tag (e.g., any, none, activity)."
"randomroll","Shows items that drop with random rolls.","Checks if item is armor with energy, or an uncrafted weapon with random perks."
"curated","Shows items that are a curated roll.","Checks if item matches a curated roll."
"shiny","Shows BRAVE weapons with a limited-edition ornament.","Checks for specific 'shiny' weapon types or a combination of origin traits."
"extraperk","Shows random-rolled Legendary weapons with an additional selectable perk.","Checks for legendary weapons with extra selectable perks."
"shaded","Shows items that have a shader applied.","Checks if item has a non-default shader applied."
"hasshader","Shows items that have a shader applied.","Checks if item has a non-default shader applied."
"ornamented","Shows items that have an ornament applied.","Checks if item has a non-default ornament applied."
"hasornament","Shows items that have an ornament applied.","Checks if item has a non-default ornament applied."
"hasdisabledmod","Shows items with a disabled mod.","Checks if item has a disabled mod."
"modded","Shows items with any Armor 2.0 mods selected.","Checks if item has Armor 2.0 mods."
"armorintrinsic","Shows legendary armor which has an intrinsic perk, such as Artifice Armor.","Checks for legendary armor with an intrinsic perk, or matches intrinsic perk name."
"deepsight","Shows weapons with Deepsight Resonance, which can have their pattern extracted, or which can have Deepsight Resonance enabled using a Deepsight Harmonizer.","Checks for weapons with Deepsight Resonance or a harmonizer socket."
"memento","Shows weapons that have a memento socket.","Checks for weapons with a memento socket, or crafted items with no memento."
"catalyst","Shows catalysts based on their status. catalyst:complete shows catalysts you have completed and applied, catalyst:incomplete shows catalysts you have unlocked but either not completed the objective or applied the catalyst, and catalyst:missing shows items that can have a catalyst but you haven't found it yet.","Checks catalyst status (missing, complete, incomplete)."
"enhancedperk","Shows weapons that have the specified number of enhanced perk columns.","Checks for enhanced perk columns, or compares the count of enhanced perks."
"enhanceable","Shows weapons that can be enhanced.","Checks if crafted weapon is enhanceable."
"enhanced","Shows weapons based on their enhancement tier.","Checks if crafted weapon is enhanced, or compares enhancement tier."
"enhancementready","Shows weapons that have reached level thresholds for perk enhancement.","Checks if crafted weapon is ready for enhancement."
"retiredperk","Shows weapons with perks that no longer obtainable.","Checks for weapons with retired perks."
"adept","Shows weapons compatible with Adept mods.","Checks if weapon is an Adept weapon."
"origintrait","Shows weapons that have an origin trait perk.","Checks if weapon has an origin trait perk."
"stat","Shows items based on a specific stat value.","Compares item stats based on value or base value, or custom stat totals."
"basestat","Filters armor based on its base stat value, not including attached mods or masterworking.","Compares item base stats."
"maxstatloadout","Finds a set of items to equip for the maximum total value of a specific stat.","Checks if item is part of a max stat loadout for a given stat."
"maxstatvalue","Finds armor with the highest number for a specific stat. Includes all items with the highest stat.","Checks if item stat matches the highest stat value for its slot and tier."
"maxbasestatvalue","Finds armor with the highest number for a specific stat. Includes all items with the highest stat.","Checks if item base stat matches the highest base stat value for its slot and tier."
"maxcustomstatvalue","Finds armor with the highest number for a specific stat. Includes all items with the highest stat.","Checks if item custom stat matches the highest custom stat value for its slot and tier."
"maxbasecustomstatvalue","Finds armor with the highest number for a specific stat. Includes all items with the highest stat.","Checks if item base custom stat matches the highest base custom stat value for its slot and tier."
"maxpowerloadout","Shows the items in the loadout that would maximize your Power Level for each character class.","Checks if item is part of a max power loadout."
"maxpower","Shows the items at the highest power per slot.","Checks if item power is the maximum for its bucket/class."
"accountmaxpower","Shows the items at the highest power per slot.","Checks if item power is the maximum for its bucket."
"inleftchar","Shows items based on their location within the app. left/middle/right are the visual location of the char, and while inleftchar will always work, the other two are based on how many characters you have. current is your last/current logged char (that is marked with a yellow triangle).","Checks if item is on the left-most character."
"inmiddlechar","Shows items based on their location within the app. left/middle/right are the visual location of the char, and while inleftchar will always work, the other two are based on how many characters you have. current is your last/current logged char (that is marked with a yellow triangle).","Checks if item is on the middle character."
"inrightchar","Shows items based on their location within the app. left/middle/right are the visual location of the char, and while inleftchar will always work, the other two are based on how many characters you have. current is your last/current logged char (that is marked with a yellow triangle).","Checks if item is on the right-most character."
"onwrongclass","Shows items based on their class affinity.","Checks if item is on the wrong class."
"invault","Shows items based on their location within the app.","Checks if item is in the vault."
"incurrentchar","Shows items based on their location within the app.","Checks if item is on the current character."
"currentclass","Shows items based on their class affinity.","Checks if item class type matches the current character's class type."
"wishlist","Shows items that match your wish list.","Checks if item is on the wishlist and not undesirable."
"wishlistdupe","Shows duplicate items where at least one of the duplicates is on your wish list.","Checks if any duplicate is on the wishlist."
"wishlistnotes","Shows wish listed items whose notes match the search.","Performs text search within wishlist notes."
"trashlist","Shows items that match your wish list's trash list.","Checks if item is on the trashlist."
"wishlistunknown","Shows items with no roll recommendations in the loaded wish lists.","Checks if item hash is not in wishlists by hash."
"wishlistable","Shows items that are eligible to have wish list rolls.","Checks if item is wishlist enabled."
